Smiles,EC50 (nM),values
Cc1c(/C=C/C(=O)O)oc2ccc(Cl)c(Oc3ccncc3C(=O)N3CCN(C4CC4)c4ccccc43)c12,18.0,1.0
CC[C@H]1[C@@H](O)[C@@H]2[C@H](C[C@H](O)[C@]3(C)[C@@H]([C@H](C)CCC(=O)O)CC[C@@H]23)[C@@]2(C)CC[C@@H](O)C[C@@H]12,7000.0,0.0
CCC[C@]1(O)C[C@H]2[C@@H]3CC[C@H]([C@H](C)CC#N)[C@@]3(C)CC[C@@H]2[C@@]2(C)CC[C@@H](O)C[C@@H]12,1200.0,0.0
O=C([C@H]1CCCN1Cc1cc(Cl)ccc1Cl)N1CCN(C2CC2)c2ccccc21,1258.93,0.0
CC(C)c1onc(-c2c(Cl)cccc2Cl)c1COc1ccccc1,1590.0,0.0
COC(=O)c1cccc(-c2ccc(OCc3c(-c4c(Cl)cccc4Cl)noc3C(C)C)cc2)c1,2800.0,0.0
COc1ccc(OCc2cnc(SCc3c(F)cccc3Cl)n2-c2ccc(F)cc2)cc1OC,17800.0,0.0
Cc1nn(C)c(Oc2ccc(Cl)cc2Cl)c1C(=O)N1CCCCC1c1cccnc1,12.0,1.0
O=C(NCCCCOc1cc(Cl)c(CN2CSC[C@H]2C(=O)N2CCN(C3CC3)c3ccccc32)cc1Cl)NC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,12.59,1.0
O=C(OCC(F)(F)F)c1coc2ccc(Oc3ccncc3C(=O)N3CCN(C4CC4)c4ccccc43)cc12,23.3,1.0
Cc1oc(=O)oc1COC(=O)c1coc2ccc(Oc3ccncc3C(=O)N3CCN(C4CC4)c4ccccc43)cc12,5953.0,0.0
CN(C)c1ccccc1N(C)C(=O)c1cncnc1Oc1cc(Cl)ccc1Cl,3711.0,0.0
O=C(c1cncnc1Oc1cc(Cl)ccc1Cl)N1CCN(C2CC2)c2ccccc21,30.0,1.0
O=C(c1cncnc1Oc1cc(Cl)ccc1Cl)N1CCN(C2CCC2)c2ccccc21,23.0,1.0
Cc1ccc(C)c(Oc2ccncc2C(=O)N2CCN(C3CC3)c3ccccc32)c1,6.2,1.0
O=C(c1cnccc1Oc1cc(Cl)c(Cl)cc1Cl)N1CCN(C2CC2)c2ccccc21,2.0,1.0
C[C@H](CCC(=O)N[C@H](CC(=O)O)Cc1c[nH]c2ccccc12)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,4000.0,0.0
CCN1CCN(C(=O)c2cncnc2Oc2cc(Cl)ccc2Cl)c2ccccc21,20.0,1.0
COc1ccc(OC)c(Oc2ccncc2C(=O)N2CCN(C3CC3)c3ccccc32)c1,12.0,1.0
O=C(c1cnccc1Oc1cccc(Cl)c1)N1CCN(C2CC2)c2ccccc21,7.9,1.0
CCCN1CCN(C(=O)c2cnccc2Oc2cc(Cl)ccc2Cl)c2ccccc21,7.1,1.0
CO[C@@H]1C[C@@H]2C[C@H](O)CC[C@]2(C)[C@H]2CC[C@]3(C)[C@@H]([C@H](C)CCC(=O)N4CCCC4)CC[C@H]3[C@H]12,10.5,1.0
CCCCNC(=O)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,5380.0,0.0
C=CCN(c1ccc(OC)c(OC)c1)c1cnc(SCc2c(F)cccc2F)n1-c1ccc(F)cc1,7.7,1.0
COc1ccc(N(C)c2cnc(SCc3c(F)cc(OCCCS(=O)(=O)O)cc3F)n2-c2ccc(F)cc2)cc1OC.N,24.0,1.0
COc1cc(-n2c(N(C)c3ccc(OC)c(OC)c3)cnc2SCc2c(F)cccc2F)ccc1F,20.0,1.0
COc1ccc(N(C)c2cnc(SCc3c(F)cccc3F)n2-c2ccc(F)cc2)cc1OC,0.8,1.0
C[C@@H](O)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@@H](OC(=O)NC6CC6)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,37.99,1.0
COc1ccc(C(C)(C)c2cnc(SCCOc3ccc(-n4cncn4)cc3)n2-c2ccc(F)cc2)cc1OC,16.8,1.0
CC[C@H]1[C@@H](O)[C@@H]2[C@H](CC[C@]3(C)[C@@H]([C@H](C)CCCOS(=O)(=O)[O-])CC[C@@H]23)[C@@]2(C)CC[C@@H](O)C[C@@H]12.[Na+],1000.0,0.0
Cc1cc(/C(C[C@H](c2ccc(N3CCC(C(=O)O)CC3)cc2)c2ccccc2C)=N/O)ccn1,4.0,1.0
C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,50500.0,0.0
CN(C(=O)c1conc1-c1ccccc1Cl)c1ccc(Cl)cc1,1258.93,0.0
C[C@H](CCC(=O)[O-])[C@H]1[C@@H](O)C[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C.[Na+],55000.0,0.0
Cc1nn(C)c(Oc2cccc(Cl)c2Cl)c1C(=O)N(Cc1cccnc1)C(C)C,0.3,1.0
CCc1ccc(N(C)C(=O)c2c(-c3ccccc3Cl)noc2C)cc1,1000.0,0.0
CCCc1ccc(N(C)C(=O)c2c(-c3ccccc3Cl)noc2C)cc1,6309.57,0.0
COc1ccc(-c2noc(C)c2C(=O)N(C)c2ccc(Cl)cc2)cc1,5011.87,0.0
CCc1onc(-c2ccccc2Cl)c1C(=O)N(C)c1ccc(Cl)cc1,3.981,1.0
CC[C@H]1[C@@H](O)[C@@H]2[C@H](CC[C@]3(C)[C@@H]([C@H](C)CCNC(=O)NC4CC4)CC[C@@H]23)[C@@]2(C)CC[C@@H](O)C[C@@H]12,70.0,1.0
CC[C@H]1[C@@H](O)[C@@H]2[C@H](CC[C@]3(C)[C@@H]([C@H](C)CCNC(=O)C(=O)O)CC[C@@H]23)[C@@]2(C)CC[C@@H](O)C[C@@H]12,20.0,1.0
C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4CCCC[C@]4(C)[C@H]3CC[C@]12C,6080.0,0.0
Cn1cc(C(=O)O)c2ccc(N3CCC(F)(COCc4c(-c5c(Cl)cccc5Cl)noc4C4CC4)CC3)cc21,5.8,1.0
C[C@H](CC(=O)N1CCCC1)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,2770.0,0.0
C=CC[C@@]1(O)CC[C@]2(C)[C@H]3CC[C@@H]4[C@H]5[C@H](C(=C)C)CC[C@]5(C(=O)O)CC[C@@]4(C)[C@]3(C)CC[C@H]2C1(C)C,2080.0,0.0
CC(CO)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,3320.0,0.0
Cc1onc(-c2ccccc2Cl)c1C(=O)N(C)c1ccc(Br)cc1,15.85,1.0
Cc1onc(-c2ccccc2Cl)c1C(=O)N(C)c1ccc(Cl)cc1Cl,2511.89,0.0
Cc1onc(-c2ccccc2Cl)c1C(=O)N(C)c1ccc(C(C)C)cc1,1258.93,0.0
Cc1onc(-c2ccccc2Cl)c1C(=O)N(C)c1ccc(C(F)(F)F)cc1,19.95,1.0
CCN(C(=O)c1c(-c2ccccc2Cl)noc1C)c1ccc(Cl)cc1,31.62,1.0
O=C(NCCc1ccc(Cl)cc1)[C@@H]1CCCN(c2ccncn2)C1,13700.0,0.0
CN1CCN(c2cc(N3CCC[C@@H](C(=O)NCCc4ccc(C#N)nc4)C3)nc(C(F)(F)F)n2)CC1,6.0,1.0
CN1CCN(C(=O)c2cnc(O)nc2Nc2cc(Cl)ccc2Cl)c2ccccc21,20.0,1.0
CC(CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,1250.0,0.0
COc1ccc(SCc2cnc(SCc3c(F)cc(-c4nn[nH]n4)cc3F)n2-c2ccc(F)cc2)cc1OC,42620.0,0.0
O=C(c1cnccc1Oc1cccc2ccccc12)N1CCN(C2CC2)c2ccccc21,17.0,1.0
O=C(c1cnccc1Oc1ccc2[nH]ccc2c1)N1CCN(C2CC2)c2ccccc21,1216.0,0.0
C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](OS(=O)(=O)O)CC[C@]4(C)[C@H]3CC[C@]12C,47800.0,0.0
COc1ccc(C(C)(C)c2cnc(SCCOc3ccc(-n4ccnc4)cc3)n2-c2ccc(F)cc2)cc1OC,0.057,1.0
COc1ccc(C(C)(C)c2cnc(SCCOc3ccc(-n4ccnc4C)cc3F)n2-c2ccc(F)cc2)cc1OC,8.6,1.0
C=C(C)C[C@@]1(O)CC[C@]2(C)[C@H]3CC[C@@H]4[C@H]5[C@H](C(=C)C)CC[C@]5(C(=O)O)CC[C@@]4(C)[C@]3(C)CC[C@H]2C1(C)C,6270.0,0.0
COC(=O)c1ccc(N(C)C(=O)c2c(-c3ccccc3Cl)noc2C)cc1,7943.28,0.0
CC(C)c1onc(-c2ccccc2Cl)c1C(=O)N(C)c1ccc(Cl)cc1,19.95,1.0
COc1ccc(C(=O)Nc2cccc(C(=O)O)c2)c(NC(=O)c2ccc(C(C)(C)C)cc2)c1,30000.0,0.0
CCN(C(=O)c1c(-c2ccccc2Cl)noc1C)c1cccc(Cl)c1,5011.87,0.0
C[C@]12CC[C@@H](O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,30.0,1.0
COc1cc(C2(CF)CCCc3nc(SCc4c(F)cccc4Cl)n(-c4ccc(F)cc4)c32)ccc1Cl,6200.0,0.0
COc1cc(C2CCCc3nc(SCc4c(F)cccc4Cl)n(-c4ccc(F)cc4F)c32)ccc1Cl,35180.0,0.0
C[C@H]1[C@H](C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)C[C@@H](O)[C@H](O)[C@@](C)(CO)[C@@H]5CC[C@]43C)[C@H]12,16800.0,0.0
C[C@]12CC[C@@H](O)C[C@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12,2440.0,0.0
C[C@H](CC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,10400.0,0.0
C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@@H](F)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,2290.0,0.0
C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@H]2[C@@H]3C[C@H](O)[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,24200.0,0.0
C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3C[C@H](O)[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,31600.0,0.0
N#Cc1ccc(CCNC(=O)[C@@H]2CCCN(c3ccnc(C(F)(F)F)n3)C2)cc1,23.0,1.0
CCN1CCN(c2cc(N3CC[C@H]3C(=O)NCCc3ccc(C#N)nc3)nc(C(F)(F)F)n2)CC1,4.0,1.0
Cc1onc(-c2ccc(C(F)(F)F)cc2)c1C(=O)N(C)c1ccc(Cl)cc1,1258.93,0.0
C[C@H](C[C@H](C)C(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)CC4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,3580.0,0.0
CCNc1nc2c(c(C(N)=O)n1)CN(C(=O)CCc1ccccc1)CC2,8320.0,0.0
O=C(c1ncncc1Oc1cc(Cl)ccc1Cl)N1CCCc2ccccc21,3871.0,0.0
O=C(c1cnccc1Oc1ccccc1)N1CCN(C2CC2)c2ccccc21,47.0,1.0
Cc1nn(C)c(Oc2cccc(Cl)c2Cl)c1C(=O)N1CCCC[C@@H]1c1cccnc1,6.8,1.0
Cc1ccnc(N2CCC[C@@H](C(=O)NCCc3ccc(Br)cc3)C2)n1,33.0,1.0
Cc1nc(N2CCC[C@@H](C(=O)NCCc3ccc(C#N)cc3)C2)nc(N2CCN(C)CC2)c1F,11.0,1.0
C[C@]12CC[C@H](O)C[C@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,2620.0,0.0
C[C@H](CCCS(=O)(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,5020.0,0.0
C[C@H](CCCO)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,2180.0,0.0
COc1ccc(SCc2cnc(SCc3c(F)cccc3Cl)n2-c2ccc(F)cc2)cc1OC,5680.0,0.0
COc1ccc(SCc2cnc(SCc3c(F)cc(S(=O)(=O)NCCC[N+](C)(C)C)cc3F)n2-c2ccc(F)cc2)cc1OC.O=C([O-])C(F)(F)F,29550.0,0.0
COc1ccc(SCc2cnc(SCc3c(F)cc(S(=O)(=O)N(CCCO)CCC[N+](C)(C)C)cc3F)n2-c2ccc(F)cc2)cc1OC.O=C([O-])C(F)(F)F,20750.0,0.0
COc1ccc(SCc2cnc(SCc3c(F)cc(C(=O)O)cc3F)n2-c2ccc(F)cc2)cc1OC,6080.0,0.0
Cc1ccnc(N2CCC[C@@H](C(=O)NCCc3ccccc3)C2)n1,26400.0,0.0
CC[C@H]1[C@@H](O)[C@@H]2[C@H](CC[C@]3(C)[C@@H]([C@H](C)CCNC(=O)OC/C=C/c4ccccc4)CC[C@@H]23)[C@@]2(C)CC[C@@H](O)C[C@@H]12,55000.0,0.0
CCc1cc(Cl)c(Oc2ccncc2C(=O)N2CCN(C3CC3)c3ccccc32)cc1Cl,0.72,1.0
COc1ccc(C(C)(C)c2cnc(SCCOc3ccc(C#N)cc3)n2-c2ccc(F)cc2)cc1OC,2.3,1.0
Cc1cc(/C(CC(c2ccc(CC(=O)O)cc2)c2ccccc2C)=N/O)ccn1,6100.0,0.0
O=C(c1ccc(Cl)cc1)N(Cc1cc(C(F)(F)F)cc(C(F)(F)F)c1)Cc1cnccc1-c1ccccc1,7430.0,0.0
COc1ccc(Cc2nnc(SCc3c(F)cccc3F)n2-c2ccc(F)cc2)cc1OC,21.0,1.0
N#Cc1ccc(CCNC(=O)[C@@H]2CCN2c2cc(-c3ccc(-c4ccc(C(=O)O)cc4)cc3)nc(C(F)(F)F)n2)cc1,2.0,1.0
O=C1COc2nccc(-c3ccccc3F)c2CN1Cc1cc(C(F)(F)F)cc(C(F)(F)F)c1,0.23,1.0
CCNc1nc2c(c(C(N)=O)n1)CN(C(=O)CCc1ccc(C(C)(F)F)cc1)CC2,2.7,1.0
Cc1ccc(Oc2ccncc2C(=O)N2CCN(C3CC3)c3ccccc32)cc1,12.0,1.0
Cc1ccc(C(C/C(=N\O)c2ccncc2)c2ccc(N(C)C)cc2)cc1,1100.0,0.0
Cc1ccc(CN(C(=O)c2c(C)nn(C)c2Oc2cccc(Cl)c2Cl)C(C)C)cn1,49.0,1.0
C[C@H](CCCS(=O)(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,1000.0,0.0
COc1ccc(N(C)c2cnc(SCc3c(F)cc(C#CCN(C)C)cc3F)n2-c2ccc(F)cc2)cc1OC,4.1,1.0
COc1ccc(N(C)c2cnc(SCc3c(F)cccc3F)n2-c2ccc(F)cc2F)cc1OC,4.8,1.0
COc1ccc(N(C)c2cnc(SCc3ccccc3)n2-c2ccc(F)cc2)cc1OC,68.0,1.0
Cc1ccccc1[C@H](C/C(=N/O)C1CCC(=O)N(C)C1)c1ccc(S(C)(=O)=O)cc1,29.0,1.0
C[C@]12CC[C@@H](O)C[C@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,3760.0,0.0
COc1cc(C2CCCc3nc(SCc4c(F)cccc4Cl)n(-c4ccc(F)c(C(F)(F)F)c4)c32)ccc1Cl,13400.0,0.0
N#Cc1ccc(CCNC(=O)[C@@H]2CCCN(c3cc(N4CCNCC4)nc(C(F)(F)F)n3)C2)cc1,13.0,1.0
COc1cccc(Oc2ccncc2C(=O)N2CCN(C3CC3)c3ccccc32)c1,26.0,1.0
N#Cc1ccc(CCNC(=O)[C@@H]2CCN2c2cc(N3CCC(Oc4ccc(CC(=O)O)cc4)CC3)nc(C(F)(F)F)n2)cc1,30.0,1.0
N#Cc1ccc(CCNC(=O)[C@@H]2CCCN(c3cc(N4CCC(Oc5ccc(CC(=O)O)cc5)CC4)nc(C(F)(F)F)n3)C2)cc1,2.0,1.0
N#Cc1ccc(CCNC(=O)[C@@H]2CCCN(c3cc(N4CCNCC4)nc(C(F)(F)F)n3)C2)cn1,63.0,1.0
C[C@H](CCCO)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,6000.0,0.0
CN(C(=O)c1c(-c2ccccc2Cl)noc1C1CC1)c1ccc(Cl)cc1,3.981,1.0
C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,33900.0,0.0
O=C(c1cnccc1Oc1ccc2ccoc2c1)N1CCN(C2CC2)c2ccccc21,25.0,1.0
O=C(c1cnccc1Oc1ccc2ccccc2c1)N1CCN(C2CC2)c2ccccc21,41.0,1.0
COc1cc(C2CCCc3nc(SCc4ccc(F)cc4F)n(-c4ccc(F)cc4)c32)ccc1Cl,26440.0,0.0
COc1cc(C2(C)CCCc3nc(SCc4c(F)cc(OCCOCCOCCN(C)C)cc4F)n(-c4ccc(F)cc4)c32)ccc1F,25100.0,0.0
C[C@H](CCCOS(=O)(=O)[O-])[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4CCCC[C@]4(C)[C@H]3CC[C@]12C.[Na+],9000.0,0.0
CN(C)c1ccc(C(C/C(=N\O)c2ccncc2)c2ccccn2)cc1,1600.0,0.0
CCOC(=O)CNC(=O)CCc1cc(Cl)c(Oc2ccncc2C(=O)N2CCN(C3CC3)c3ccccc32)cc1Cl,5300.0,0.0
CCOC(=O)CCc1cc(Cl)c(Oc2ccncc2C(=O)N2CCN(C3CC3)c3ccccc32)cc1Cl,3800.0,0.0
CN(CC(=O)O)C(=O)CCc1cc(Cl)c(Oc2ccncc2C(=O)N2CCN(C3CC3)c3ccccc32)cc1Cl,15000.0,0.0
Cc1nn(C)c(Oc2cccc(Cl)c2Cl)c1C(=O)N(Cc1cccnc1)C1CCOC1,1080.0,0.0
Cc1nn(C)c(Oc2cccc(Cl)c2Cl)c1C(=O)N1CCCC[C@H]1c1cccnc1,4680.0,0.0
CCc1onc(-c2cccc(OC)c2)c1C(=O)N(C)c1ccc(C(F)(F)F)nc1,11.0,1.0
COc1cccc(-c2noc(C3CC3)c2C(=O)N(C)c2ccc(C(F)(F)F)nc2)c1,8.2,1.0
CCN(C(=O)c1cncnc1Oc1cc(Cl)ccc1Cl)c1ccccc1C,4886.0,0.0
O=C(c1cnccc1Oc1cc(Cl)ccc1Cl)N1CCCc2ccccc21,49.0,1.0
C=CCN1CCN(C(=O)c2cncnc2Oc2cc(Cl)ccc2Cl)c2ccccc21,30.0,1.0
COc1cccc(-c2noc(C)c2C(=O)N(C)c2ccc(C(F)(F)F)nc2)c1,10.0,1.0
Cc1onc(-c2cccc(Cl)c2)c1C(=O)N(C)c1ccc(Cl)cc1,12.59,1.0
COc1ccc(CNc2c(-c3cc(Cl)ccn3)nc3ccc(Cl)cn23)cc1,0.3,1.0
CCCN1CCN(C(=O)c2cncnc2Oc2cc(Cl)ccc2Cl)c2ccccc21,30.0,1.0
CC(C)N1CCN(C(=O)c2cnccc2Oc2cc(Cl)ccc2Cl)c2ccccc21,69.0,1.0
Cc1nc(N2CCC[C@@H](C(=O)NCCc3ccc(Cl)cc3)C2)ncc1F,38.0,1.0
CN1CCN(c2cc(N3CCC[C@H]3C(=O)NCCc3ccc(C#N)cc3)nc(C(F)(F)F)n2)CC1,4.0,1.0
Cn1nc(C(=O)N(Cc2ccccc2)Cc2ccc(C(=O)O)cc2)c2c1-c1cc(Cl)ccc1OC2,7.0,1.0
CC[C@H]1[C@@H](O)[C@@H]2[C@H]([C@H](O)C[C@]3(C)[C@@H]([C@H](C)CCC(=O)O)CC[C@@H]23)[C@@]2(C)CC[C@@H](O)C[C@@H]12,3000.0,0.0
Cc1noc(CC[C@@H](C)[C@H]2CC[C@H]3[C@@H]4[C@H](O)C[C@@H]5C[C@H](O)CC[C@]5(C)[C@H]4CC[C@]23C)n1,8440.0,0.0
COCCOCCNC(=O)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@H](OC)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,49.5,1.0
CC[C@H]1[C@@H](O)[C@@H]2[C@H](CC[C@]3(C)[C@@H]([C@H](C)CCN)CC[C@@H]23)[C@@]2(C)CC[C@@H](O)C[C@@H]12,1320.0,0.0
Cc1nn(C)c(Oc2cccc(Cl)c2Cl)c1C(=O)N(Cc1cccnc1)C1CC1,1020.0,0.0
Cc1ccccc1C1CCCCN1C(=O)c1c(C)nn(C)c1Oc1cccc(Cl)c1Cl,1400.0,0.0
Cc1onc(-c2ccccc2Cl)c1C(=O)N1CCc2cc(Cl)ccc21,3162.28,0.0
CCOC(=O)/C=C/c1oc2ccc(Cl)c(Oc3ccncc3C(=O)N3CCN(C4CC4)c4ccccc43)c2c1C,8.9,1.0
Cc1c(Br)oc2cc(Cl)c(Oc3ccncc3C(=O)N3CCN(C4CC4)c4ccccc43)cc12,66.0,1.0
C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC/C(=N\OC(C)=O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,5000.0,0.0
COc1ccc(SCc2cnc(SCc3c(F)cc(C(=O)NC(CCCNC(=N)N)C(=O)O)cc3F)n2-c2ccc(F)cc2)cc1OC,36800.0,0.0
Cc1nn(C)c(Oc2cccc(F)c2F)c1C(=O)N1CCCCC1c1cccnc1,65.0,1.0
CC[C@H]1[C@@H](O)[C@@H]2[C@H](CC[C@]3(C)[C@@H]([C@H](C)CCc4nn[nH]n4)CC[C@@H]23)[C@@]2(C)CC[C@@H](O)C[C@@H]12,1770.0,0.0
Cc1cc(/C(C[C@H](c2ccc(C3C[C@@H]4C(C(=O)O)[C@@H]4C3)cc2)c2ccc(F)cc2F)=N\O)ccn1,1.0,1.0
CC[C@H]1[C@H](O)[C@@H]2[C@H](CC[C@]3(C)[C@@H]([C@H](C)CCC(=O)O)CC[C@@H]23)[C@@]2(C)CC[C@@H](O)C[C@@H]12,1490.0,0.0
O=C(c1ccncc1)N(Cc1cc(C(F)(F)F)cc(C(F)(F)F)c1)Cc1cnccc1-c1ccccc1,4080.0,0.0
CCOC(=O)CNC(=O)/C=C/c1oc2ccc(Cl)c(Oc3ccncc3C(=O)N3CCN(C4CC4)c4ccccc43)c2c1C,8.5,1.0
O=C(O)c1cc(F)c2nc(N3C4CCC3CC(OCc3c(-c5ccccc5OC(F)(F)F)noc3C3CC3)C4)sc2c1,0.2,1.0
O=C(c1cnccc1Oc1ccc2ncccc2c1)N1CCN(C2CC2)c2ccccc21,64.0,1.0
CC[C@H]1[C@@H](O)[C@@H]2[C@H](CC[C@]3(C)[C@@H]([C@H](C)CCC(=O)[O-])[C@@H](O)C[C@@H]23)[C@@]2(C)CC[C@@H](O)C[C@@H]12.[Na+],11500.0,0.0
Cc1onc(-c2cccc(F)c2)c1C(=O)N(C)c1ccc(Cl)cc1,7.943,1.0
CCN1CCN(c2cc(N3CCC[C@@H](C(=O)NCCc4cnc(C#N)nc4)C3)nc(C(F)(F)F)n2)CC1,17.0,1.0
C[C@H](C(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,99700.0,0.0
Cc1onc(-c2ccccc2Cl)c1C(=O)N(C)c1ccc(N(C)C)cc1,3981.07,0.0
CCCc1onc(-c2ccccc2Cl)c1C(=O)N(C)c1ccc(Cl)cc1,10.0,1.0
C[C@H]([C@@H]1C[C@H]1C(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,2910.0,0.0
C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@H]2[C@@H]3C[C@H](O)[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,36700.0,0.0
Cc1nn(C)c(Oc2cc(Cl)ccc2Cl)c1C(=O)N1CCCCC1c1cccnc1,1480.0,0.0
O=C(c1ccsc1)N(Cc1cnccc1-c1ccccc1F)S(=O)(=O)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,1090.0,0.0
O=C(c1nccnc1Oc1cc(Cl)ccc1Cl)N1CCCc2ccccc21,5422.0,0.0
CN(C(=O)c1cncnc1Oc1cc(Cl)ccc1Cl)c1ccccc1,3151.0,0.0
